AssayId,BlockId,Size,RowSid,RowName,RowTarget,ColSid,ColName,ColTarget,RowIC50,ColIC50,RowConcs,ColConcs,RowConcUnit,ColConcUnit
9403,1,10,NCGC00505919-04,"S63845","Mcl-1 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",4.496102,0.110423,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,2,10,NCGC00345789-12,"Venetoclax (ABT-199)","Bcl-2 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.410489,0.141573,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,3,10,NCGC00351477-01,"UNC-1999","EZH1 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",89.70129,0.147597,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,4,10,NCGC00188344-18,"Navitoclax (ABT-263)","Bcl-xL Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.079788,0.126099,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,5,10,NCGC00390655-02,"PTC-691","Polycomb Complex Protein BMI-1 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.298754,0.091706,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,6,10,NCGC00379003-04,"WEHI-539","Bcl-xl Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.507939,0.095197,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0",uM,uM
9403,7,10,NCGC00505919-04,"S63845","Mcl-1 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",1.280135,0.120358,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0",uM,uM
9403,8,10,NCGC00345789-12,"Venetoclax (ABT-199)","Bcl-2 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.370032,0.070342,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0",uM,uM
9403,9,10,NCGC00351477-01,"UNC-1999","EZH1 Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",10.301526,0.058758,"20.0,10.0,5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0","5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0",uM,uM
9403,10,10,NCGC00188344-18,"Navitoclax (ABT-263)","Bcl-xL Inhibitor",NCGC00163700-12,"Vincristine sulfate","Unknown",0.146527,0.074883,"5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0","5.0,2.5,1.25,0.625,0.3125,0.15625,0.078125,0.0390624,0.0195312,0.0",uM,uM
